StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0215,12,8,7
0215,12,9,6
0215,12,10,5
0215,12,11,2
0215,12,12,1
0216,11,1,10
0216,11,2,10
0216,11,3,9
0216,11,4,8
0216,11,5,8
0216,11,6,9
0216,11,7,7
0216,11,8,2
0216,11,9,1
0216,11,10,6
0216,11,11,1
0217,14,1,9
0217,14,2,10
0217,14,3,1
0217,14,4,8
0217,14,5,2
0217,14,6,1
0217,14,7,8
0217,14,8,8
0217,14,9,2
0217,14,10,9
0217,14,11,6
0217,14,12,1
0217,14,13,7
0217,14,14,1
0218,15,1,11
0218,15,2,9
0218,15,3,7
0218,15,4,9
0218,15,5,1
0218,15,6,1
0218,15,7,10
0218,15,8,8
0218,15,9,1
0218,15,10,6
0218,15,11,8
0218,15,12,2
0218,15,13,1
0218,15,14,3
0218,15,15,1
0219,10,1,10
0219,10,2,9
0219,10,3,9
0219,10,4,8
0219,10,5,9
0219,10,6,10
0219,10,7,7
0219,10,8,2
0219,10,9,1
0219,10,10,2
0220,10,1,11
0220,10,2,9
0220,10,3,8
0220,10,4,9
0220,10,5,10
0220,10,6,8
0220,10,7,7
0220,10,8,1
0220,10,9,9
0220,10,10,7
0221,9,1,9
0221,9,2,9
0221,9,3,1
0221,9,4,1
0221,9,5,8
0221,9,6,7
0221,9,7,1
0221,9,8,6
0221,9,9,1
0222,12,1,12
0222,12,2,10
0222,12,3,7
0222,12,4,7
0222,12,5,9
0222,12,6,2
0222,12,7,8
0222,12,8,7
0222,12,9,1
0222,12,10,7
0222,12,11,6
0222,12,12,6
0223,11,1,9
0223,11,2,10
0223,11,3,9
0223,11,4,8
0223,11,5,8
0223,11,6,6
0223,11,7,1
0223,11,8,1
0223,11,9,8
0223,11,10,8
0223,11,11,2
0224,14,1,10
0224,14,2,10
0224,14,3,8
0224,14,4,8
0224,14,5,2
0224,14,6,1
0224,14,7,9
0224,14,8,1
0224,14,9,8
0224,14,10,7
0224,14,11,6
0224,14,12,1
0224,14,13,1
0224,14,14,8
0225,15,1,9
0225,15,2,9
0225,15,3,1
0225,15,4,6
0225,15,5,2
0225,15,6,9
0225,15,7,1
0225,15,8,9
0225,15,9,8
0225,15,10,8
0225,15,11,5
0225,15,12,3
0225,15,13,2
0225,15,14,1
0225,15,15,1
0226,12,1,8
0226,12,2,9
0226,12,3,9
0226,12,4,7
0226,12,5,6
0226,12,6,8
0226,12,7,7
0226,12,8,1
0226,12,9,1
0226,12,10,6
0226,12,11,7
0226,12,12,8
0227,14,1,10
0227,14,2,8
0227,14,3,1
0227,14,4,9
0227,14,5,9
0227,14,6,2
0227,14,7,8
0227,14,8,8
0227,14,9,1
0227,14,10,2
0227,14,11,5
0227,14,12,6
0227,14,13,1
0227,14,14,1
0228,13,1,10
0228,13,2,9
0228,13,3,9
0228,13,4,9
0228,13,5,1
0228,13,6,1
0228,13,7,9
0228,13,8,9
0228,13,9,1
0228,13,10,6
0228,13,11,3
0228,13,12,1
0228,13,13,2
0229,11,1,10
0229,11,2,9
0229,11,3,9
0229,11,4,8
0229,11,5,1
0229,11,6,9
0229,11,7,9
0229,11,8,8
0229,11,9,7
0229,11,10,1
0229,11,11,1
0230,11,1,9
0230,11,2,9
0230,11,3,8
0230,11,4,8
0230,11,5,8
0230,11,6,8
0230,11,7,1
0230,11,8,1
0230,11,9,8
0230,11,10,1
0230,11,11,1
0231,13,1,9
0231,13,2,8
0231,13,3,1
0231,13,4,7
0231,13,5,7
0231,13,6,1
0231,13,7,8
0231,13,8,8
0231,13,9,1
0231,13,10,8
0231,13,11,6
0231,13,12,1
0231,13,13,3
0232,9,1,10
0232,9,2,8
0232,9,3,10
0232,9,4,8
0232,9,5,1
0232,9,6,9
0232,9,7,8
0232,9,8,9
0232,9,9,6
0233,11,1,11
0233,11,2,10
0233,11,3,8
0233,11,4,9
0233,11,5,1
0233,11,6,10
0233,11,7,10
0233,11,8,1
0233,11,9,6
0233,11,10,1
0233,11,11,2
0234,11,1,9
0234,11,2,9
0234,11,3,1
0234,11,4,9
0234,11,5,7
0234,11,6,8
0234,11,7,7
0234,11,8,7
0234,11,9,1
0234,11,10,1
0234,11,11,5
0235,14,1,10
0235,14,2,8
0235,14,3,1
0235,14,4,8
0235,14,5,8
0235,14,6,1
0235,14,7,9
0235,14,8,8
0235,14,9,2
0235,14,10,7
0235,14,11,6
0235,14,12,1
0235,14,13,1
0235,14,14,1
0236,9,1,10
0236,9,2,9
0236,9,3,8
0236,9,4,8
0236,9,5,1
0236,9,6,10
0236,9,7,7
0236,9,8,8
0236,9,9,3
0237,13,1,9
0237,13,2,8
0237,13,3,2
0237,13,4,10
0237,13,5,9
0237,13,6,3
0237,13,7,9
0237,13,8,8
0237,13,9,6
0237,13,10,6
0237,13,11,2
0237,13,12,1
0237,13,13,3
0238,11,1,9
0238,11,2,9
0238,11,3,7
0238,11,4,8
0238,11,5,1
0238,11,6,9
0238,11,7,9
0238,11,8,1
0238,11,9,8
0238,11,10,6
0238,11,11,1
0239,10,1,10
0239,10,2,9
0239,10,3,2
0239,10,4,9
0239,10,5,8
0239,10,6,8
0239,10,7,6
0239,10,8,7
0239,10,9,5
0239,10,10,1
0240,12,1,10
0240,12,2,10
0240,12,3,1
0240,12,4,1
0240,12,5,8
0240,12,6,9
0240,12,7,2
0240,12,8,9
0240,12,9,7
0240,12,10,1
0240,12,11,5
0240,12,12,6
0241,13,1,9
0241,13,2,9
0241,13,3,1
0241,13,4,8
0241,13,5,8
0241,13,6,9
0241,13,7,8
0241,13,8,1
0241,13,9,1
0241,13,10,6
0241,13,11,5
0241,13,12,1
0241,13,13,1
0242,12,1,9
0242,12,2,10
0242,12,3,8
0242,12,4,8
0242,12,5,10
0242,12,6,8
0242,12,7,8
0242,12,8,1
0242,12,9,7
0242,12,10,7
0242,12,11,1
0242,12,12,3
0243,12,1,10
0243,12,2,10
0243,12,3,9
0243,12,4,9
0243,12,5,1
0243,12,6,8
0243,12,7,8
0243,12,8,6
0243,12,9,6
0243,12,10,1
0243,12,11,1
0243,12,12,1
0244,13,1,10
0244,13,2,9
0244,13,3,1
0244,13,4,8
0244,13,5,9
0244,13,6,9
0244,13,7,8
0244,13,8,1
0244,13,9,7
0244,13,10,1
0244,13,11,8
0244,13,12,1
0244,13,13,1
0245,15,1,10
0245,15,2,9
0245,15,3,7
0245,15,4,9
0245,15,5,1
0245,15,6,2
0245,15,7,9
0245,15,8,1
0245,15,9,8
0245,15,10,6
0245,15,11,2
0245,15,12,6
0245,15,13,3
0245,15,14,1
0245,15,15,4
0246,11,1,10
0246,11,2,9
0246,11,3,9
0246,11,4,8
0246,11,5,2
0246,11,6,9
0246,11,7,9
0246,11,8,1
0246,11,9,2
0246,11,10,8
0246,11,11,1
0247,8,1,11
0247,8,2,8
0247,8,3,9
0247,8,4,9
0247,8,5,8
0247,8,6,9
0247,8,7,5
0247,8,8,4
0248,12,1,8
0248,12,2,10
0248,12,3,10
0248,12,4,1
0248,12,5,9
0248,12,6,9
0248,12,7,1
0248,12,8,8
0248,12,9,5
0248,12,10,8
0248,12,11,1
0248,12,12,1
0249,13,1,10
0249,13,2,10
0249,13,3,9
0249,13,4,8
0249,13,5,1
0249,13,6,1
0249,13,7,8
0249,13,8,8
0249,13,9,1
0249,13,10,7
0249,13,11,4
0249,13,12,1
0249,13,13,1
0250,10,1,10
0250,10,2,10
0250,10,3,10
0250,10,4,9
0250,10,5,9
0250,10,6,8
0250,10,7,2
0250,10,8,6
0250,10,9,3
0250,10,10,7
0251,11,1,10
0251,11,2,9
0251,11,3,8
0251,11,4,8
0251,11,5,2
0251,11,6,8
0251,11,7,8
0251,11,8,1
0251,11,9,7
0251,11,10,7
0251,11,11,2
0252,12,1,10
0252,12,2,9
0252,12,3,8
0252,12,4,6
0252,12,5,2
0252,12,6,9
0252,12,7,8
0252,12,8,2
0252,12,9,6
0252,12,10,6
0252,12,11,1
0252,12,12,1
0253,10,1,9
0253,10,2,9
0253,10,3,9
0253,10,4,9
0253,10,5,10
0253,10,6,1
0253,10,7,8
0253,10,8,2
0253,10,9,7
0253,10,10,7
